frame_id,timestamp,tracking_cost,valid_projected_points,residual_mean,residual_median,residual_p95,inlier_ratio,relative_translation_m,relative_rotation_deg,tracking_failure,fallback_used,fallback_reason,keyframe_inserted,active_window_keyframes,active_inverse_depth_points
0,0.0,,0,,,,0.0,0.0,0.0,False,False,,True,1,600
1,0.1037359,211084.33658430877,1247,16.227564137424547,7.290202927108346,62.72438094500603,0.8075380914194066,0.6790505378680285,0.2770038357068692,False,False,,False,1,600
2,0.2073381,282097.33899131074,1145,21.76248134671723,9.780674996463986,85.37137554195438,0.7327510917030567,1.3774836105403383,0.5004899352477472,False,False,,False,1,600
3,0.3110752,364968.5351925604,1018,28.657585980639208,14.632679779023576,101.24965836075181,0.6493123772102161,2.094539170188974,0.7568092479889368,False,False,,False,1,600
4,0.4146917,415070.719593584,924,32.12342312424959,18.323385485270038,104.04357050831955,0.5887445887445888,2.8474902558115964,1.0682147910938888,False,False,,True,2,1200
5,0.5184302,210286.07000586955,1267,17.461347117401566,8.353854045549419,61.52547240842467,0.8003157063930545,0.7429763904045436,0.26528103432962624,False,False,,False,2,1200
6,0.6220448,315943.59529952647,1096,23.90964298031883,13.040027532631086,85.25485852942052,0.7107664233576643,1.5033720656474416,0.5375679445092251,False,False,,False,2,1200
7,0.7257977,386812.8759366509,949,27.990971386059943,16.276838811094436,92.34508879096386,0.6354056902002108,2.2698212696000346,0.8647820927984685,False,False,,True,3,1800
8,0.8294199,220313.26263350775,1255,17.92842743262576,9.706162147480583,60.19939998510313,0.7936254980079681,0.7931623215429402,0.28668621073550593,False,False,,False,3,1800
9,0.9331467,311585.1124763099,1084,23.67043794790454,11.999183289693292,96.28701953403701,0.7232472324723247,1.591819035169636,0.5740350978698769,False,False,,True,4,2400
10,1.03691,214768.70416761085,1194,14.785314386266347,7.474842567152116,52.769789249793774,0.8442211055276382,0.8197484315882074,0.26380643501869766,False,False,,False,4,2400
