algorithm,ate_rmse_m,rpe_trans_percent,rpe_rot_deg_per_m,runtime_avg_ms,runtime_median_ms,runtime_p95_ms,wall_time_s,keyframes,tracking_failures,fallbacks,loop_closures
ORB,1.8983816016818265,,,6827.448403999842,66.42140000258223,30549.24403500226,687.6807838999994,34,0,,0
DSO,9.436689621572576,,,779.0648545455078,418.87560000031954,2101.413169999796,79.03458820000014,39,9,9,0
SVO,2.391617473675404,,,73.33809399995516,89.85629999915545,101.1138550018586,8.5364742999991,75,0,0,0
