algorithm,ate_rmse_m,rpe_trans_percent,rpe_rot_deg_per_m,kitti_mean_trans_percent,kitti_mean_rot_deg_per_m,runtime_avg_ms,runtime_median_ms,runtime_p95_ms,wall_time_s,keyframes,tracking_failures,fallbacks,loop_candidates,loop_closures
ORB,2.9912797622947775,2.7486798914225603,0.02777596311343581,2.684330600427161,0.026457457990861223,5239.209675998427,31.28860000288114,26338.857774966164,1575.8097934999969,103,0,,89,2
DSO,3.4278875727725295,2.037647159389003,0.015980093013734726,2.0258769516656865,0.01543052468415579,1759.09633010495,129.1783000342548,10269.942750013428,527.7849123999476,141,12,12,17,0
SVO,2.962078729882473,1.7526211216008467,0.01806663354137637,1.7257334223355771,0.017301977505933784,39.637288998346776,47.126299992669374,64.00606504175812,13.590433600009419,217,0,0,0,0
